time,input,pid,output
2850,999,1000,999
2855,999,1000,999
2860,999,1000,999
2865,999,1004,995
2870,999,1003,995
2875,999,999,999
2880,999,1004,995
2885,999,1003,995
2890,999,1003,995
2895,999,1000,999
2900,999,1000,999
2905,999,1000,999
2910,999,1000,999
2915,999,1000,999
2920,999,1004,995
2925,999,1003,995
2930,999,999,999
2935,999,1000,999
2940,999,1000,999
2945,999,1000,999
2950,999,1003,995
2955,999,1003,995
2960,999,1003,995
2965,999,1003,995
2970,999,999,999
2975,999,1000,999
2980,999,1000,999
2985,999,1000,999
2990,999,1000,999
2995,999,999,999
3000,1999,2999,999
3005,1999,2720,999
3010,1999,2553,1105
3015,1999,2388,1292
3020,1999,2263,1472
3025,1999,2177,1617
3030,1999,2119,1727
3035,1999,2086,1801
3040,1999,2058,1859
3045,1999,2041,1898
3050,1999,2028,1927
3055,1999,2021,1946
3060,1999,2016,1959
3065,1999,2012,1969
3070,1999,2010,1975
3075,1999,2010,1978
3080,1999,2009,1981
3085,1999,2004,1988
3090,1999,2006,1988
3095,1999,2004,1991
3100,1999,2004,1991
3105,1999,2002,1994
3110,1999,2003,1994
3115,1999,2003,1994
3120,1999,2003,1994
3125,1999,2004,1994
3130,1999,2004,1994
3135,1999,2000,1998
3140,1999,2001,1998
3145,1999,2001,1998
3150,1999,2001,1998
3155,1999,2001,1998
3160,1999,2001,1998
3165,1999,2005,1994
3170,1999,2000,1998
3175,1999,2001,1998
3180,1999,2001,1998
3185,1999,2001,1998
3190,1999,2001,1998
3195,1999,2001,1998
3200,1999,2001,1998
3205,1999,2001,1998
3210,1999,2001,1998
3215,1999,2005,1994
3220,1999,2004,1994
3225,1999,2000,1998
3230,1999,2001,1998
3235,1999,2001,1998
3240,1999,2001,1998
3245,1999,2001,1998
3250,1999,2001,1998
3255,1999,2001,1998
3260,1999,2001,1998
3265,1999,2001,1998
3270,1999,2001,1998
3275,1999,2001,1998
3280,1999,2001,1998
3285,1999,2001,1998
3290,1999,2001,1998
3295,1999,2001,1998
3300,1999,2001,1998
3305,1999,2001,1998
3310,1999,2001,1998
3315,1999,2001,1998
3320,1999,2001,1998
3325,1999,2001,1998
3330,1999,2001,1998
3335,1999,2001,1998
3340,1999,2001,1998
3345,1999,2001,1998
3350,1999,2001,1998
3355,1999,2001,1998
3360,1999,2001,1998
3365,1999,2001,1998
3370,1999,2001,1998
3375,1999,2001,1998
3380,1999,2001,1998
3385,1999,2001,1998
3390,1999,2001,1998
3395,1999,2001,1998
3400,1999,2001,1998
3405,1999,2001,1998
3410,1999,2001,1998
3415,1999,2001,1998
3420,1999,2001,1998
3425,1999,2001,1998
3430,1999,2001,1998
3435,1999,2001,1998
3440,1999,2001,1998
3445,1999,2001,1998
3450,1999,2001,1998
3455,1999,2001,1998
3460,1999,2001,1998
3465,1999,2001,1998
3470,1999,2001,1998
3475,1999,2001,1998
3480,1999,2001,1998
3485,1999,2001,1998
3490,1999,2001,1998
3495,1999,2001,1998
3500,999,1,1998
3505,999,288,1991
3510,999,450,1888
3515,999,616,1701
3520,999,741,1521
3525,999,827,1376
3530,999,885,1266
3535,999,921,1189
3540,999,946,1134
3545,999,963,1095
3550,999,973,1069
3555,999,981,1050
3560,999,986,1037
3565,999,989,1028
3570,999,992,1021
3575,999,994,1015
3580,999,996,1011
3585,999,997,1008
3590,999,999,1005
3595,999,998,1005
3600,999,1000,1002
3605,999,999,1002
3610,999,999,1002
3615,999,999,1002
3620,999,999,1002
3625,999,1001,999
3630,999,1001,999
3635,999,1001,999
3640,999,1000,999
3645,999,1000,999
3650,999,1000,999
3655,999,1000,999
3660,999,1000,999
3665,999,1000,999
3670,999,1000,999
3675,999,1000,999
3680,999,999,999
3685,999,999,999
3690,999,999,999
3695,999,1003,995
3700,999,1003,995
3705,999,1003,995
3710,999,999,999
3715,999,1000,999
3720,999,1000,999
3725,999,1000,999
3730,999,1000,999
3735,999,999,999
3740,999,999,999
3745,999,1003,995
3750,999,1003,995
3755,999,1003,995
3760,999,1003,995
3765,999,999,999
3770,999,1000,999
3775,999,1000,999
3780,999,1000,999
3785,999,1000,999
3790,999,1000,999
3795,999,1000,999
3800,999,1000,999
3805,999,1000,999
3810,999,1004,995
3815,999,1003,995
3820,999,999,999
3825,999,1000,999
3830,999,1000,999
3835,999,1000,999
3840,999,1004,995
3845,999,1003,995
3850,999,1003,995
3855,999,999,999
3860,999,1000,999
3865,999,1004,995
3870,999,999,999
3875,999,1004,995
3880,999,999,999
3885,999,1004,995
3890,999,1000,999
3895,999,1004,995
3900,999,1003,995
3905,999,999,999
3910,999,1000,999
3915,999,1004,995
3920,999,999,999
3925,999,1004,995
3930,999,1003,995
3935,999,1003,995
3940,999,1000,999
3945,999,1000,999
3950,999,1000,999
3955,999,1000,999
3960,999,1000,999
3965,999,1004,995
3970,999,999,999
3975,999,1000,999
3980,999,1000,999
3985,999,1003,995
3990,999,999,999
3995,999,999,999
4000,1999,3003,995
4005,1999,2719,999
4010,1999,2553,1105
4015,1999,2388,1292
4020,1999,2266,1469
4025,1999,2177,1617
4030,1999,2119,1727
4035,1999,2083,1804
4040,1999,2058,1859
4045,1999,2041,1898
4050,1999,2028,1927
4055,1999,2024,1943
4060,1999,2016,1959
4065,1999,2012,1969
