time,input,pid,output
5,1999,3242,198
10,1999,2795,552
15,1999,2535,881
20,1999,2379,1144
25,1999,2278,1346
30,1999,2209,1499
35,1999,2159,1614
40,1999,2122,1702
45,1999,2093,1770
50,1999,2073,1821
55,1999,2056,1861
60,1999,2043,1892
65,1999,2033,1916
70,1999,2026,1934
75,1999,2019,1949
80,1999,2015,1960
85,1999,2012,1968
90,1999,2009,1975
95,1999,2007,1980
100,1999,2005,1984
105,1999,2004,1987
110,1999,2004,1989
115,1999,2003,1991
120,1999,2002,1993
125,1999,2001,1994
130,1999,2001,1995
135,1999,2000,1996
140,1999,2001,1996
145,1999,2001,1996
150,1999,2000,1997
155,1999,2000,1997
160,1999,2001,1997
165,1999,2001,1997
170,1999,2000,1998
175,1999,2000,1998
180,1999,2000,1998
185,1999,2000,1998
190,1999,2000,1998
195,1999,2000,1998
200,1999,2000,1998
205,1999,2000,1998
210,1999,2000,1998
215,1999,2000,1998
220,1999,2000,1998
225,1999,2000,1998
230,1999,2000,1998
235,1999,2000,1998
240,1999,2000,1998
245,1999,2000,1998
250,1999,2000,1998
255,1999,2000,1998
260,1999,2000,1998
265,1999,2000,1998
270,1999,2000,1998
275,1999,2000,1998
280,1999,2000,1998
285,1999,2000,1998
290,1999,2000,1998
295,1999,2000,1998
300,1999,2000,1998
305,1999,2000,1998
310,1999,2000,1998
315,1999,2000,1998
320,1999,2000,1998
325,1999,2000,1998
330,1999,2000,1998
335,1999,2000,1998
340,1999,2000,1998
345,1999,2000,1998
350,1999,2000,1998
355,1999,2000,1998
360,1999,2000,1998
365,1999,2000,1998
370,1999,2000,1998
375,1999,2000,1998
380,1999,2000,1998
385,1999,2000,1998
390,1999,2000,1998
395,1999,2000,1998
400,1999,2000,1998
405,1999,2000,1998
410,1999,2000,1998
415,1999,2000,1998
420,1999,2000,1998
425,1999,2000,1998
430,1999,2000,1998
435,1999,2000,1998
440,1999,2000,1998
445,1999,2000,1998
450,1999,2000,1998
455,1999,2000,1998
460,1999,2000,1998
465,1999,2000,1998
470,1999,2000,1998
475,1999,2000,1998
480,1999,2000,1998
485,1999,2000,1998
490,1999,2000,1998
495,1999,2000,1998
500,999,0,1998
505,999,380,1898
510,999,602,1722
515,999,733,1557
520,999,812,1425
525,999,861,1325
530,999,897,1248
535,999,921,1191
540,999,939,1147
545,999,954,1113
550,999,965,1087
555,999,972,1068
560,999,979,1052
565,999,984,1040
570,999,988,1031
575,999,990,1024
580,999,993,1018
585,999,994,1014
590,999,995,1011
595,999,997,1008
600,999,998,1006
605,999,999,1004
610,999,999,1003
615,999,999,1002
620,999,999,1002
625,999,999,1001
630,999,999,1001
635,999,1000,1000
640,999,1000,1000
645,999,1000,1000
650,999,1000,999
655,999,1000,999
660,999,1000,999
665,999,1000,999
670,999,1000,999
675,999,1000,999
680,999,1001,998
685,999,1000,998
690,999,999,999
695,999,1000,999
700,999,1001,998
705,999,1000,998
710,999,999,999
715,999,1000,999
720,999,1001,998
725,999,1000,998
730,999,999,999
735,999,1000,999
740,999,1001,998
745,999,1000,998
750,999,999,999
755,999,1000,999
760,999,1001,998
765,999,1000,998
770,999,999,999
775,999,1000,999
780,999,1001,998
785,999,1000,998
790,999,999,999
795,999,1000,999
800,999,1001,998
805,999,1000,998
810,999,999,999
815,999,1000,999
820,999,1001,998
825,999,1000,998
830,999,999,999
835,999,1000,999
840,999,1001,998
845,999,1000,998
850,999,999,999
855,999,1000,999
860,999,1001,998
865,999,1000,998
870,999,999,999
875,999,1000,999
880,999,1001,998
885,999,1000,998
890,999,999,999
895,999,1000,999
900,999,1001,998
905,999,1000,998
910,999,999,999
915,999,1000,999
920,999,1001,998
925,999,1000,998
930,999,999,999
935,999,1000,999
940,999,1001,998
945,999,1000,998
950,999,999,999
955,999,1000,999
960,999,1001,998
965,999,1000,998
970,999,999,999
975,999,1000,999
980,999,1001,998
985,999,1000,998
990,999,999,999
995,999,1000,999
1000,1999,3001,998
1005,1999,2621,1098
1010,1999,2397,1275
1015,1999,2268,1439
1020,1999,2189,1571
1025,1999,2139,1672
1030,1999,2104,1748
1035,1999,2079,1806
1040,1999,2061,1850
1045,1999,2046,1884
1050,1999,2036,1910
1055,1999,2028,1929
1060,1999,2021,1945
1065,1999,2016,1957
1070,1999,2013,1966
1075,1999,2010,1973
1080,1999,2008,1978
1085,1999,2006,1983
1090,1999,2005,1986
1095,1999,2004,1989
1100,1999,2003,1991
1105,1999,2003,1992
1110,1999,2001,1994
1115,1999,2001,1995
1120,1999,2002,1995
1125,1999,2001,1996
1130,1999,2000,1997
1135,1999,2001,1997
1140,1999,2001,1997
1145,1999,2000,1998
1150,1999,2000,1998
1155,1999,2000,1998
