time,input,pid,output
995,2000,1002,1002
1000,2000,3117,1015
1005,2000,3089,1131
1010,2000,2558,1327
1015,2000,2245,1521
1020,2000,2147,1659
1025,2000,2126,1753
1030,2000,2108,1817
1035,2000,2085,1862
1040,2000,2063,1898
1045,2000,2047,1923
1050,2000,2037,1943
1055,2000,2029,1959
1060,2000,2022,1969
1065,2000,2019,1975
1070,2000,2016,1981
1075,2000,2013,1988
1080,2000,2009,1991
1085,2000,2008,1991
1090,2000,2010,1994
1095,2000,2008,1994
1100,2000,2008,1998
1105,2000,2006,1998
1110,2000,2006,1998
1115,2000,2006,2001
1120,2000,2005,2001
1125,2000,2005,2001
1130,2000,2003,2001
1135,2000,2001,2001
1140,2000,2005,2001
1145,2000,2007,2001
1150,2000,2005,2001
1155,2000,2003,1994
1160,2000,2008,2001
1165,2000,2005,2001
1170,2000,2005,2001
1175,2000,2005,2001
1180,2000,2005,2001
1185,2000,2005,2001
1190,2000,2003,2001
1195,2000,2003,2001
1200,2000,2005,2001
1205,2000,2005,2001
1210,2000,2005,2001
1215,2000,2005,2001
1220,2000,2003,2001
1225,2000,2003,2001
1230,2000,2005,2001
1235,2000,2003,2001
1240,2000,2005,2001
1245,2000,2005,2001
1250,2000,2005,2001
1255,2000,2005,2001
1260,2000,2003,2001
1265,2000,2003,2001
1270,2000,2005,2004
1275,2000,2003,2001
1280,2000,2005,2001
1285,2000,2005,2001
1290,2000,2003,2010
1295,2000,2000,2001
1300,2000,2005,2001
1305,2000,2005,2004
1310,2000,2003,2001
1315,2000,2003,2001
1320,2000,2005,2001
1325,2000,2005,2001
1330,2000,2005,2001
1335,2000,2005,2001
1340,2000,2005,2001
1345,2000,2015,2004
1350,2000,2001,2004
1355,2000,2000,2004
1360,2000,2003,2004
1365,2000,2003,2004
1370,2000,2003,2004
1375,2000,2003,2001
1380,2000,2005,2001
1385,2000,2005,2001
1390,2000,2005,2001
1395,2000,2005,2001
1400,2000,2003,2001
1405,2000,2005,2004
1410,2000,2003,2001
1415,2000,2005,2004
1420,2000,2003,2004
1425,2000,2001,2001
1430,2000,2005,2001
1435,2000,2005,2001
1440,2000,2005,2001
1445,2000,2005,2001
1450,2000,2005,2001
1455,2000,2003,2001
1460,2000,2003,2004
1465,2000,2003,2001
1470,2000,2005,2001
1475,2000,2005,2001
1480,2000,2005,2001
1485,2000,2003,2001
1490,2000,2003,2004
1495,1000,2003,2001
1500,1000,0,1969
1505,1000,0,1875
1510,1000,430,1685
1515,1000,728,1498
1520,1000,843,1356
1525,1000,878,1260
1530,1000,899,1192
1535,1000,920,1144
1540,1000,941,1108
1545,1000,959,1079
1550,1000,971,1060
1555,1000,978,1047
1560,1000,985,1034
1565,1000,989,1028
1570,1000,992,1021
1575,1000,996,1015
1580,1000,998,1011
1585,1000,998,1008
1590,1000,999,1008
1595,1000,1002,1005
1600,1000,1001,1005
1605,1000,1001,1005
1610,1000,1001,1002
1615,1000,1002,1005
1620,1000,1001,1002
1625,1000,1002,1002
1630,1000,1002,1002
1635,1000,1002,1002
1640,1000,1005,1002
1645,1000,1005,1002
1650,1000,1002,999
1655,1000,1004,1002
1660,1000,1002,1002
1665,1000,1002,1002
1670,1000,1002,999
1675,1000,1004,999
1680,1000,1004,999
1685,1000,1004,1002
1690,1000,1002,1002
1695,1000,1002,999
1700,1000,1004,999
1705,1000,1004,999
1710,1000,1004,999
1715,1000,1002,970
1720,1000,1018,1002
1725,1000,1005,1002
1730,1000,1000,1002
1735,1000,1000,1002
1740,1000,1002,1002
1745,1000,1002,1002
1750,1000,1002,999
1755,1000,1004,999
1760,1000,1006,999
1765,1000,1004,999
1770,1000,1004,1002
1775,1000,1002,999
1780,1000,1004,999
1785,1000,1006,1002
1790,1000,1002,999
1795,1000,1004,1002
1800,1000,1002,1002
1805,1000,1002,1002
1810,1000,1002,1002
1815,1000,1005,999
1820,1000,1004,999
1825,1000,1004,999
1830,1000,1004,999
1835,1000,1004,999
1840,1000,1004,999
1845,1000,1004,999
1850,1000,1004,999
1855,1000,1004,999
1860,1000,1004,999
1865,1000,1004,1002
1870,1000,1002,1024
1875,1000,992,999
1880,1000,1006,999
1885,1000,1006,970
1890,1000,1018,999
1895,1000,1004,999
1900,1000,1002,1002
1905,1000,1000,1002
