time,input,pid,output
995,2000,1001,995
1000,2000,6728,1044
1005,2000,-1049,1073
1010,2000,5195,1218
1015,2000,-154,1224
1020,2000,4182,1340
1025,2000,498,1337
1030,2000,3503,1450
1035,2000,964,1472
1040,2000,3041,1585
1045,2000,1289,1617
1050,2000,2722,1708
1055,2000,1512,1737
1060,2000,2500,1801
1065,2000,1665,1820
1070,2000,2346,1865
1075,2000,1769,1878
1080,2000,2239,1911
1085,2000,1841,1917
1090,2000,2165,1940
1095,2000,1891,1943
1100,2000,2114,1956
1105,2000,1925,1962
1110,2000,2079,1972
1115,2000,1949,1972
1120,2000,2055,1981
1125,2000,1965,1981
1130,2000,2038,1985
1135,2000,1976,1985
1140,2000,2027,1991
1145,2000,1984,1988
1150,2000,2019,1991
1155,2000,1990,1991
1160,2000,2013,1994
1165,2000,1993,1994
1170,2000,2010,1994
1175,2000,1996,1994
1180,2000,2007,1994
1185,2000,1998,1998
1190,2000,2005,1998
1195,2000,1999,1998
1200,2000,2004,1998
1205,2000,1999,1998
1210,2000,2003,1998
1215,2000,2000,1998
1220,2000,2003,1998
1225,2000,2000,1998
1230,2000,2002,1998
1235,2000,2001,1998
1240,2000,2002,1998
1245,2000,2001,1998
1250,2000,2002,1998
1255,2000,2001,1998
1260,2000,2002,1998
1265,2000,2001,1998
1270,2000,2002,1998
1275,2000,2001,2001
1280,2000,2002,1998
1285,2000,2001,1998
1290,2000,2002,1998
1295,2000,2001,1998
1300,2000,2002,1998
1305,2000,2001,1998
1310,2000,2001,1998
1315,2000,2001,1998
1320,2000,2001,1998
1325,2000,2001,1998
1330,2000,2001,1998
1335,2000,2001,1998
1340,2000,2001,1998
1345,2000,2001,1998
1350,2000,2001,1998
1355,2000,2001,1998
1360,2000,2001,1998
1365,2000,2001,2001
1370,2000,2001,1998
1375,2000,2001,1998
1380,2000,2001,1998
1385,2000,2001,1998
1390,2000,2001,1998
1395,2000,2001,1998
1400,2000,2001,1998
1405,2000,2001,1998
1410,2000,2001,1998
1415,2000,2001,1998
1420,2000,2001,1998
1425,2000,2001,1998
1430,2000,2001,1998
1435,2000,2001,1998
1440,2000,2001,1998
1445,2000,2001,1998
1450,2000,2001,1998
1455,2000,2001,1998
1460,2000,2001,1998
1465,2000,2001,1998
1470,2000,2001,1998
1475,2000,2001,1998
1480,2000,2001,1998
1485,2000,2001,1998
1490,2000,2001,1998
1495,1000,2001,1998
1500,1000,-3725,1956
1505,1000,4052,1933
1510,1000,-2193,1820
1515,1000,3156,1846
1520,1000,-1182,1753
1525,1000,2499,1772
1530,1000,-507,1669
1535,1000,2029,1650
1540,1000,-49,1540
1545,1000,1701,1495
1550,1000,267,1392
1555,1000,1478,1350
1560,1000,490,1272
1565,1000,1327,1240
1570,1000,646,1185
1575,1000,1224,1163
1580,1000,755,1121
1585,1000,1154,1108
1590,1000,831,1082
1595,1000,1107,1073
1600,1000,884,1053
1605,1000,1074,1047
1610,1000,920,1037
1615,1000,1051,1031
1620,1000,945,1024
1625,1000,1036,1021
1630,1000,962,1015
1635,1000,1025,1015
1640,1000,974,1011
1645,1000,1017,1008
1650,1000,982,1008
1655,1000,1012,1005
1660,1000,988,1002
1665,1000,1009,1002
1670,1000,992,1002
1675,1000,1006,1002
1680,1000,995,1002
1685,1000,1004,1002
1690,1000,996,999
1695,1000,1003,999
1700,1000,998,999
1705,1000,1002,999
1710,1000,999,999
1715,1000,1002,999
1720,1000,999,999
1725,1000,1001,999
1730,1000,1000,999
1735,1000,1001,999
1740,1000,1000,999
1745,1000,1001,999
1750,1000,1000,999
1755,1000,1001,999
1760,1000,1000,999
1765,1000,1001,999
1770,1000,1000,999
1775,1000,1001,999
1780,1000,1000,999
1785,1000,1001,999
1790,1000,1000,999
1795,1000,1001,999
1800,1000,1000,999
1805,1000,1000,999
1810,1000,1000,999
1815,1000,1000,999
1820,1000,1000,995
1825,1000,1000,999
1830,1000,1001,995
1835,1000,1000,999
1840,1000,1001,999
1845,1000,1000,995
1850,1000,1001,999
1855,1000,1001,999
1860,1000,1001,999
1865,1000,1001,999
1870,1000,1000,1002
1875,1000,1000,995
1880,1000,1000,999
1885,1000,1001,995
1890,1000,1000,999
1895,1000,1001,995
1900,1000,1000,995
1905,1000,1001,995
1910,1000,1000,995
1915,1000,1001,995
1920,1000,1001,995
1925,1000,1001,995
1930,1000,1001,999
1935,1000,1001,995
1940,1000,1000,995
1945,1000,1001,999
1950,1000,1001,999
1955,1000,1001,999
1960,1000,1000,999
1965,1000,1001,995
1970,1000,1000,995
1975,1000,1001,999
1980,1000,1001,995
1985,1000,1001,995
1990,1000,1001,999
1995,2000,1001,995
2000,2000,6728,1044
2005,2000,-1049,1079
2010,2000,5195,1218
2015,2000,-154,1224
2020,2000,4182,1340
2025,2000,497,1337
2030,2000,3503,1450
2035,2000,964,1469
2040,2000,3041,1585
2045,2000,1289,1617
2050,2000,2722,1708
2055,2000,1512,1737
2060,2000,2500,1801
2065,2000,1665,1820
2070,2000,2346,1865
2075,2000,1769,1878
2080,2000,2239,1911
2085,2000,1841,1917
2090,2000,2165,1940
2095,2000,1891,1940
2100,2000,2114,1959
2105,2000,1925,1962
2110,2000,2079,1972
2115,2000,1949,1972
2120,2000,2055,1978
2125,2000,1965,1981
2130,2000,2038,1985
2135,2000,1976,1988
2140,2000,2027,1988
2145,2000,1984,1991
2150,2000,2019,1991
2155,2000,1989,1994
2160,2000,2014,1994
2165,2000,1993,1994
2170,2000,2010,1994
2175,2000,1995,1994
2180,2000,2007,1994
2185,2000,1997,1994
2190,2000,2006,1994
2195,2000,1999,1998
2200,2000,2004,1998
2205,2000,1999,1998
2210,2000,2003,1998
2215,2000,2000,1998
2220,2000,2003,1998
2225,2000,2000,1998
2230,2000,2002,1998
2235,2000,2001,1998
2240,2000,2002,2001
2245,2000,2001,1998
2250,2000,2002,1998
2255,2000,2001,1998
2260,2000,2002,1998
2265,2000,2001,1998
2270,2000,2001,1998
2275,2000,2001,1998
2280,2000,2001,1998
2285,2000,2001,1998
2290,2000,2001,1998
2295,2000,2001,1998
2300,2000,2001,1998
2305,2000,2001,1998
2310,2000,2001,1994
2315,2000,2001,1998
2320,2000,2002,1998
2325,2000,2001,1998
2330,2000,2002,1998
2335,2000,2001,1998
2340,2000,2002,1998
2345,2000,2001,1998
2350,2000,2001,1998
2355,2000,2001,1998
2360,2000,2001,1998
2365,2000,2001,1998
2370,2000,2001,1998
2375,2000,2001,1998
2380,2000,2001,1998
2385,2000,2001,1998
2390,2000,2001,1998
2395,2000,2001,1998
2400,2000,2001,1998
2405,2000,2001,1998
2410,2000,2001,1998
2415,2000,2001,1998
2420,2000,2001,1998
2425,2000,2001,1998
2430,2000,2001,1998
2435,2000,2001,1998
2440,2000,2001,1998
2445,2000,2001,1998
2450,2000,2001,1998
2455,2000,2001,1998
2460,2000,2001,1998
2465,2000,2001,1998
2470,2000,2001,1998
2475,2000,2001,1998
2480,2000,2001,1998
2485,2000,2001,1998
2490,2000,2001,1998
2495,1000,2001,1998
2500,1000,-3725,1956
2505,1000,4052,1933
2510,1000,-2193,1824
2515,1000,3156,1846
2520,1000,-1182,1753
2525,1000,2499,1769
2530,1000,-507,1669
2535,1000,2029,1650
2540,1000,-49,1537
2545,1000,1702,1495
2550,1000,267,1392
2555,1000,1478,1353
2560,1000,490,1272
2565,1000,1327,1240
2570,1000,646,1185
2575,1000,1224,1163
2580,1000,755,1121
2585,1000,1154,1108
2590,1000,831,1082
2595,1000,1107,1073
2600,1000,884,1053
2605,1000,1074,1047
2610,1000,920,1037
2615,1000,1051,1031
2620,1000,945,1024
2625,1000,1036,1021
2630,1000,962,1015
2635,1000,1025,1015
2640,1000,974,1008
2645,1000,1017,1008
2650,1000,983,1005
2655,1000,1012,1005
2660,1000,988,1005
2665,1000,1009,1002
2670,1000,992,1002
2675,1000,1006,1002
2680,1000,995,1002
2685,1000,1004,1002
2690,1000,996,1002
2695,1000,1003,992
2700,1000,998,999
2705,1000,1003,999
2710,1000,998,999
2715,1000,1002,999
2720,1000,999,999
2725,1000,1002,999
2730,1000,999,999
2735,1000,1001,999
2740,1000,1000,999
2745,1000,1001,999
2750,1000,1000,999
2755,1000,1001,995
2760,1000,1000,999
2765,1000,1001,999
2770,1000,1000,999
2775,1000,1001,999
2780,1000,1000,999
2785,1000,1001,999
2790,1000,1000,995
2795,1000,1001,995
2800,1000,1001,995
2805,1000,1001,999
2810,1000,1001,999
2815,1000,1001,999
2820,1000,1001,999
2825,1000,1000,999
2830,1000,1001,995
2835,1000,1000,999
2840,1000,1001,999
2845,1000,1000,999
