time,input,pid,output
915,1000,1000,995
920,1000,1000,995
925,1000,1000,995
930,1000,1000,995
935,1000,1000,995
940,1000,1000,995
945,1000,1000,995
950,1000,1000,995
955,1000,1000,999
960,1000,1000,995
965,1000,1000,995
970,1000,1000,995
975,1000,1000,995
980,1000,1000,995
985,1000,1000,995
990,1000,1000,995
995,1000,1000,995
1000,2000,2000,999
1005,2000,2000,1050
1010,2000,2000,1153
1015,2000,2000,1260
1020,2000,2000,1359
1025,2000,2000,1453
1030,2000,2000,1527
1035,2000,2000,1595
1040,2000,2000,1653
1045,2000,2000,1701
1050,2000,2000,1743
1055,2000,2000,1778
1060,2000,2000,1811
1065,2000,2000,1836
1070,2000,2000,1859
1075,2000,2000,1878
1080,2000,2000,1894
1085,2000,2000,1911
1090,2000,2000,1920
1095,2000,2000,1933
1100,2000,2000,1943
1105,2000,2000,1949
1110,2000,2000,1956
1115,2000,2000,1959
1120,2000,2000,1965
1125,2000,2000,1969
1130,2000,2000,1972
1135,2000,2000,1978
1140,2000,2000,1978
1145,2000,2000,1981
1150,2000,2000,1981
1155,2000,2000,1985
1160,2000,2000,1988
1165,2000,2000,1988
1170,2000,2000,1988
1175,2000,2000,1975
1180,2000,2000,1991
1185,2000,2000,1991
1190,2000,2000,1991
1195,2000,2000,1994
1200,2000,2000,1994
1205,2000,2000,1994
1210,2000,2000,1994
1215,2000,2000,1994
1220,2000,2000,1994
1225,2000,2000,1994
1230,2000,2000,1994
1235,2000,2000,1994
1240,2000,2000,1994
1245,2000,2000,1994
1250,2000,2000,1994
1255,2000,2000,1994
1260,2000,2000,1998
1265,2000,2000,1994
1270,2000,2000,1994
1275,2000,2000,1994
1280,2000,2000,1994
1285,2000,2000,1998
1290,2000,2000,1998
1295,2000,2000,1998
1300,2000,2000,1998
1305,2000,2000,1998
1310,2000,2000,1998
1315,2000,2000,1998
1320,2000,2000,1998
1325,2000,2000,1998
1330,2000,2000,1998
1335,2000,2000,1998
1340,2000,2000,1998
1345,2000,2000,1998
1350,2000,2000,2001
1355,2000,2000,1998
1360,2000,2000,1994
1365,2000,2000,1998
1370,2000,2000,1998
1375,2000,2000,1998
1380,2000,2000,1998
1385,2000,2000,1998
1390,2000,2000,1998
1395,2000,2000,1998
1400,2000,2000,1998
1405,2000,2000,1998
1410,2000,2000,1998
1415,2000,2000,1998
1420,2000,2000,1998
1425,2000,2000,1998
1430,2000,2000,1998
1435,2000,2000,1998
1440,2000,2000,1998
1445,2000,2000,1998
1450,2000,2000,1998
1455,2000,2000,1998
1460,2000,2000,1998
1465,2000,2000,1998
1470,2000,2000,1998
1475,2000,2000,1998
1480,2000,2000,1998
1485,2000,2000,1998
1490,2000,2000,1998
